147.345932,143.682144,1.17395449,179.959076,0.00140030531,-0.00213198783
62.6991272,-9.61051846,97.7354,168.782227,-10.2423201,34.4592
51.5006561,-13.3786793,106.960587,168.291489,-11.2403126,37.0338135
136.190491,-17.8223972,50.4507217,168.291977,4.82022572,34.8497620
132.333282,-48.3530273,70.5395050,168.722488,5.81343,39.4729042
227.057648,-60.7695732,39.8535118,175.832596,18.9853458,37.5178185
204.824158,-43.0046043,37.9895744,174.887009,13.3956118,33.9545898
269.243866,143.934372,-30.0227757,-179.997482,19.5044479,0.0853948146
290.958160,143.979309,-36.0008507,179.998779,24.0449409,0.0753364488
267.482086,266.139313,-11.9122620,173.731812,17.9892216,-19.4814682
278.704712,283.907593,-7.14147902,171.791199,19.4447556,-25.2210484
150.737595,296.933533,30.1780643,172.264709,-1.94374108,-22.1633492
150.685928,321.905945,43.4992294,172.448410,-2.57796454,-26.8172913
85.3933182,317.827118,80.9163895,-177.108124,-9.53633118,-32.3627510
